
===== 2026-04-08T11:19:44-04:00 | T4_apriltag_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks vision_apriltag --ros-args -p detector_backend:=opencv -p opencv_pose_solver:=ippe_square -p tag_size_m:=0.025 -p tag_sizes_m_by_id:=0:0.020 -p use_tuned_aruco_parameters:=false -p preprocess_variants:=raw\,clahe\,adaptive\,clahe_sharp\,clahe_up2\,sharp_up2\,clahe_up3\,sharp_up3 -p tile_search_if_empty:=true -p tile_search_grid_x:=4 -p tile_search_grid_y:=3 -p tile_search_scale:=3.0 

[INFO] [1775661585.421761880] [vision_apriltag_node]: Vision AprilTag Node Started
[INFO] [1775661585.423706366] [vision_apriltag_node]: Subscribing to camera topic: /wrist_mounted_camera/image
[INFO] [1775661585.425768794] [vision_apriltag_node]: Subscribing to camera info topic: /wrist_mounted_camera/camera_info
[INFO] [1775661585.427773859] [vision_apriltag_node]: Camera frame: wrist_mounted_camera_color_optical_frame | use_image_header_frame=True
[INFO] [1775661585.430036890] [vision_apriltag_node]: Tag size: 0.025m | pose_cache_retention_s=20.0 | get_pose_wait_timeout_s=5.0 | max_returned_pose_age_s=20.0 | camera_params=[554.25, 554.25, 320.0, 240.0] | families=tag36h11 | quad_decimate=1.0 | requested_backend=opencv | backend=cv2.aruco | opencv_pose_solver=ippe_square | use_image_timestamp_for_tf=False
[INFO] [1775661585.432138980] [vision_apriltag_node]: Top-tag known-plane projection: enabled=True, planes={3: 0.10995, 4: 0.14505}
[WARN] [1775661681.379865904] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661683.376768027] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661685.378533092] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661687.378887123] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661689.381281753] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661691.377574013] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661693.377371723] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661695.381624591] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661697.378218103] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661699.380138875] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661701.377202684] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661703.376146063] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661705.376968243] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661707.381350406] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661709.376159397] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661711.374487883] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661713.377182176] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661715.383475046] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661717.378622636] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661719.374613719] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661721.376983865] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661723.377795870] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661725.376925997] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
[WARN] [1775661727.375860830] [vision_apriltag_node]: Vision AprilTag: no images received yet on /wrist_mounted_camera/image.
